단어,설명
환매조건부채권 매각 ,"일정기간이 지난 뒤 재매입 조건으로 채권을 매도함으로써 수요자가 단기자금을 조달하는 금융거래방식의 하나이다. 1981년 6월 미국 예금 금융기관들이 증권회사에 대한 자금조달상의 열세를 만회하고자 개발한 금융상품이다. 발행목적에 따라 다양한 형태를 띠고 있는데 대표적인 것은 한국은행이 통화조절수단으로 시중은행에 판매하는 채권으로 자금사정에 따라 한국은행이 금리를 조절하고 있다. 한편 은행, 증권회사 등 금융기관이 수신상품의 하나로 일정기간 후 재매입 조건으로 고객에게 판매하는 것이 있다. 환매기간은 대부분 1~30일 이내이고 자금결제는 주로 중앙은행에 예치하고 있는 기준예치금의 대차거래로 이루어지기 때문에 당일로 기용자금이 될 수 있으며 담보로 이용되는 증권은 주로 정부 및 정부기관 채권으로 안정성과 유동성이 높다. 재매입가격은 당초의 매각가격을 기준으로 이자를 가산하기 때문에 자금공급자의 경우 담보증권의 가격변동에 따른 위험부담이 거의 없다. "
환매청구권,특정한 조건 하에서 매각상대방이 재매수를 청구할 수 있는 권리를 말한다. 
환매특약조건부 특별채권 ,"한국자산관리공사가 금융기관으로부터 회사정리나 화의 인가된 특별채권 매입시 채무자가 법원에서 정한 변제원리금을 상환기일에 변제하지 못하거나, 회사정리나 화의가 폐지되는 등 일정한 요건 발생시 매각 금융기관이 매입대금에 이자를 가산하여 특별채권을 다시 매입토록 한 특약이 있는 채권을 말한다. "
"환위험 (換危險, exchange risk) ","각국 통화간의 교환비율인 환율이 변동함으로서 외화표시거래의 가치나 외화표시 재무제표 항목의 가치에 야기되는 재무적위험을 말한다. 즉 예상하지 못한 환율변동으로 인하여 기업 등이 보유하고 있는 외화표시 순자산(자산-부채)의 가치 또는 현금흐름의 순가치가 변동될 수 있는 불확실성을 의미한다. 환리스크는 기본적으로 외환포지션의 보유형태와 규모, 장래에 환율변동 방향과 변동폭에 따라 결정된다. 일반적으로 환리스크에는 일상적 거래로부터 발생하는 거래위험(transaction risk)과, 대차대조표상의 자산과 부채의 가치를 환산하는 과정에서 발생하는 환산위험(translation risk)이 있다. 거래위험의 예로는 우리나라 기업이 물품을 수출입하는 경우 수출입대금 결제시 계약일로부터 결제일까지 환율변동에 따른 위험을 부담해야 하는 것이고, 환산위험의 예로는 이국에 자회사가 있는 본사의 연결재무제표에 외국자회사의 자산과 부채를 자국통화로 환산할 때 발생하는 환위험을 들 수 있다. "
환차손/환차익 ,"외화자산 또는 부채를 보유하고 있을 경우 환율변동에 따라 자국통화로 평가한 자산(부채)의 가치가 변동하게 된다. 환율변동에 따라 이익이 발생한 경우 환차익이라고 하고, 반대로 손실이 발생한 경우를 환차손이라고 한다. 외화자산이 외화부채 보다 많은 경우 (외화매입초과포지션, long positions 또는 over-bought positions) 환율이 상승(하락)하면 환차익(손)이 발생하고 반대로 외화부채가 외화자산보다 많은 경우 (외화매도초과포지션, short positions 또는 over-sold positions) 환율이 상승(하락)하면 환차손(익)이 발생한다. "
환취권 ,"파산재단은 파산선고를 기준으로 파산선고 시점에서 파산자에게 귀속하여야 할 재산만으로서 구성되어야 하나, 파산관재인이 점유, 관리하에 들어갈 때 파산재단에 속하지 아니하는 재산이 혼입될 수 있으며, 이 경우 당해 재산에 관하여 권리를 주장하는 제3자가 파산재단으로부터 이를 환취하는 것이 허용되는데 이를 환취권이라 한다. 환취권은 파산법에 의하여 만들어진 권리가 아니고 목적물에 대하여 제3자가 가지는 실체법상의 권리의 당연한 효과에 지나지 않으므로 어떠한 권리에 대하여 환취권이 인정되는가는 민법, 상법, 그 밖의 실체법의 일반원칙에 의하여 결정된다 (예: 소유권, 무체재산권, 점유권, 용익물건 등). "
"회계연도 (會計年度, accounting period) ","회계연도란 일반적으로 회계상의 정리기술 면에서 편의에 따라 일정한 기간을 정하고 그 수지상황을 명확히 하는 예산의 기간적 단위라 할 수 있다. 예산은 이 기간을 단위로 하여 편성되고 예산의 집행 및 결산도 이 기간마다 구분 정리되는 것이다. 회계연도는 보통 1년을 주기로 하고 있으며 우리나라는 현행 [예산회계법] 제2조에 따라 정부나 지방자치단체의 회계연도는 매년 1월1일에 시작하여 동년 12월 31일에 종료하도록 되어 있다.원래 국가의 재정은 영속적인 것으로서 일정기간을 구분하여 정리하지 않으면 정확을 기할 수 없는 것이므로 회계연도는 그 기간의 수지상황을 명확히 하고 국가의 재정을 통일하며 경리의 간명을 도모하기 위하여 채택된 기술적인 방법이라고 할 수 있다. 회계연도 정리기한은 출납의 정리 및 보고, 장부의 정리기한을 의미하며, [예산회계법] 제4조 제1항에 한 회계연도에 속하는 세입/세출의 출납에 관한 사무는 다음 연도 3월 10일까지 완결하여야 한다고 규정하고 있다. "
회사의소멸 ,"회사가 그 법인격 즉 권리능력을 상실하는 것을 말한다. 회사가 법인격을 상실하는 경우는 첫째, 합병을 한 경우(소멸회사는 합병후 즉시 소멸), 둘째, 파산회사가 파산절차를 종료한 경우, 셋째, 해산한 회사가 청산 절차를 종료한 경우이다. "
회사정리 ,"주식회사가 지급불능 또는 채무초과가 될 위험성이 있는 경우는 물론이고, 변제기에 있는 채무를 변제할 수 없을 정도로 재정적 곤란상태에 빠진 경우 회사정리법의 규정에 따라 법원의 관여하에 회사를 정리,재건하는 절차이다. 이 절차는 특별한 정함이 없는 경우는 민사소송법의 규정이 준용된다. 회사가 그 사업의 계속에 현저한 지장을 초래하지 않고서 변제기에 있는 채무를 변제할 수 없는 때에는 회사가 스스로, 회사의 파산의 원인인 사실이 생길 염려가 있는 때에는 회사 이외의 자본의 10분의 1이상에 해당하는 채권자 또는 발행주식 총수의 10분의 1이상에 해당하는 주식을 가진 주의 신청에 의하여 법원이 이를 결정한다. "
회사정리계획 (corporate reorganization plan) ,"재무적 곤경에 처한 회사가 회사정리법에 의거 회사정리절차개시를 법원에 신청한 후 정리절차개시의 결정이 있는 경우에 법정관리인은 이해관계인의 의견을 청취하여 정리계획안은 작성한다.이 계획안은 채권자, 주주, 기타 이해관계인의 이익을 조정하는 내용을 포함하여 사업의 정리, 재건을 도모하기 위한 것으로서 정리채권자, 정리담보권자, 주주 등으로 이루어진 관계인집회에서 결의를 거쳐야 하며 법원이 인가함으로써 그 효력이 생긴다.정리계획안은 또한 회사, 정리채권자, 정리담보권자, 주주 등이 작성하여 제출할 수 있다. 미국의 경우 파산법 11장의 규정에 따라 회사가 작성하여 파산법원판사에게 제출하며 회사의 채권자와 법원에 의해 인가되어야 한다. 이 계획은 회사의 채권자들에게 새로운 증권을 교부해주는 것을 주내용으로 한다. "
회사정리법 (會社整理法) ,"재무적 어려움으로 일시적으로 파탄에 직면하였으나 갱생의 가망이 있는 주식회사에 관하여 채권자, 주주, 기타 이해관계인의 이해를 조정하며 그 사업의 정지, 재건을 도모함을 목적으로 제정된 법률을 말한다. "
회사정리절차 (會社整理節次) ,"회사정리법에 따라 재무적 어려움에 빠진 회사를 법원의 통제하에서 갱생 시키기 위한 절차이다. 회사정리절차의 개시는 모두 법원에의 신청에 의하도록 하고 있으며 직권에 의한 개시는 없다. 개시의 신청은 회사가 그 사업의 계속에 현저한 지장을 초래함이 없이는 변제기에 있는 채무를 변제할 수 없는 때에 회사 자신이 신청하도록 되어 있으며, 한 회사에 파산의 원인인 사실이 생길 염려가 있는 때에는 회사 이외에 자본의 10분의 1이상에 해당하는 채권자 또는 발행주식 총수의 10분의 1이상에 해당하는 주식을 가진 주주도 신청할 수 있도록 규정하고 있다. 개시의 신청을 받은 후 법원은 결정 전의 사전조치로서 이해관계인의 신청이나 직권으로 파산, 화의, 회사재산관계소송 등의 절차의 중지를 명하거나 이미 하고 있는 강제집행 등의 중지를 명할 수 있다. "
"회사채 (會社債, corporate bonds) ","기업이 자금조달을 위해 직접 발행하는 채권을 말하며 사채라고도 한다. 회사채는 주식과는 달리 회사의 수익에 관계없이 일정률의 이자가 지급되는 것이 특징이다. 금융기관에서 지급을 보증하는 보증사채와 무보증사채, 담보부사채가 있는데, 상장기업 또는 증권감독원에 등록된 법인이 기업자금조달을 위해서 직접 발행한다. 이자는 3개월마다 후불하며 만기가 되면 액면금액을 지급 받는다. 액면은 10만원, 100만원, 500만원, 1,000만원이며, 기간은 2년, 3년, 4년, 5년 등 네 종류가 있다. 사채는 일반대중으로부터 집단적 & 대량적 모집을 하기 때문에 사채권자의 이익을 보호하기 위하여 법률에서는 일정한 요건을 구비하지 않으면 사채를 발행할 수 없도록 되어 있다. 현행 <상법>에서 규정하고 있는 사채 발행요건을 보면 사채의 총액은 자본과 준비금총액이 2배를 초과하지 못하며 사채의 발행은 이사회 결의에 의해야 하며, 전에 모집한 사채 총액의 납입이 완료된 후가 아니면 다시 사채를 발행하지 못한다. "
"회사채담보부증권(會社債擔保附證券, CBO: Collateralized Bond Obligation)  ","금융기관이 가지고 있는 채권의 투기성 등급물을 모아 이를 담보로 발행하는 유동화증권을 말한다. 현 시점에서는 현금이 아니지만 장래에 현금으로 전환할 수 있는 자산, 즉 대출채권,부동산,할부대출 등을 담보로 발행하는 증권을 말한다. 자산담보부증권(ABS)의 일종으로 채권담보부증권이라고도 하며, 종류는 크게 우선적으로 담보권을 행사할 수 있는 선순위채권과 그렇지 않은 후순위채권으로 분류된다. 선진국에서는 이미 보편화해 있으며, 유동성 위험을 방지할 목적으로 발행한다. 이를 통해 기업은 현금 유동성을 확보할 수 있고, 투자자는 외상 매출금으로 원금과 이자를 지급 받는다는 점에서 발행기업의 일반 채권보다 높은 신용등급을 받는다. CBO의 종류는 크게 원리금을 상환 받게 되는 선순위채권과 그렇지 않은 후순위채권으로 분류되고 있다. "
회사채신속인수제도 (會社債迅速引受制度) ,회사채신속인수제도는 어느 기업에 회사채 만기가 집중적으로 도래할 경우 회사채의 80%를 산업은행이 총액 인수해 주는 제도이다. 금융구조조정 과정에서 채권시장을 비롯한 금융시장이 제대로 작동하지 않기 때문에 이를 보완하기 위해 2001년 1월에 1년간 한시적으로 도입되었다. 회사채 만기가 돌아오면 기업은 80%금액 만큼 사모(私募)사채를 발행해 산업은행이 이를 인수(신속인수)하면 그 대금으로 회사채를 상환하는 방식으로 운영된다. 
